material_id,name_cn,name_en,category_1,entity_type,parent_id,required_images,recommended_images,optional_images,not_applicable_images,own_images,inherited_images,missing_required,missing_recommended,policy_status,policy_reason
polyurethane,聚氨酯,Polyurethane,高分子材料,material,thermosetting_resins,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
alumina_ceramic,氧化铝陶瓷,Alumina Ceramic,无机非金属材料,material,oxide_ceramics,macro,micro,structure,,macro,,,micro,必需已满足，建议补充,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
zirconia_ceramic,氧化锆陶瓷,Zirconia Ceramic,无机非金属材料,material,oxide_ceramics,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
sic_ceramic,碳化硅陶瓷,Silicon Carbide Ceramic,无机非金属材料,material,nonoxide_ceramics,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
silicon_nitride_ceramic,氮化硅陶瓷,Silicon Nitride Ceramic,无机非金属材料,material,nonoxide_ceramics,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
quartz_glass,石英玻璃,Quartz Glass,无机非金属材料,material,glass_materials,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
borosilicate_glass,硼硅玻璃,Borosilicate Glass,无机非金属材料,material,glass_materials,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
tempered_glass,钢化玻璃,Tempered Glass,无机非金属材料,material,glass_materials,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
portland_cement,硅酸盐水泥,Portland Cement,建筑胶凝与土木材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
concrete,混凝土,Concrete,建筑胶凝与土木材料,material,portland_cement,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
refractory,耐火材料,Refractory,无机非金属材料,family,,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
carbon_fiber_epoxy,碳纤维/环氧复合材料,Carbon Fiber/Epoxy Composite,复合材料,material,polymer_matrix_composites,macro,micro; structure,,,macro; structure,,,micro,必需已满足，建议补充,碳纤维、环氧基体、界面和铺层结构均具有重要教学价值。
glass_fiber_composite,玻璃纤维复合材料,Glass Fiber Composite,复合材料,material,polymer_matrix_composites,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,玻璃纤维复合材料适合展示纤维界面与增强结构。
aramid_fiber_composite,芳纶纤维复合材料,Aramid Fiber Composite,复合材料,material,polymer_matrix_composites,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,芳纶纤维复合材料适合展示纤维界面与层级结构。
aluminum_mmc,铝基复合材料,Aluminum Matrix Composite,复合材料,material,metal_matrix_composites,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,铝基复合材料的增强相分布与基体结构值得重点展示。
sic_cmc,碳化硅纤维增强陶瓷基复合材料,SiC Fiber Reinforced Ceramic Matrix Composite,复合材料,material,ceramic_matrix_composites,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,SiC纤维、陶瓷基体和界面层共同决定复合材料行为。
carbon_carbon,碳/碳复合材料,Carbon/Carbon Composite,复合材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,碳/碳复合材料需要结合孔隙、界面和纤维架构理解性能。
honeycomb_sandwich,蜂窝夹层板,Honeycomb Sandwich Panel,复合材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,蜂窝夹层板重点展示面板、芯层和连接关系。
silicon,硅,Silicon,半导体与电子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
gallium_arsenide,砷化镓,Gallium Arsenide,半导体与电子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
gallium_nitride,氮化镓,Gallium Nitride,半导体与电子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
silicon_carbide_semiconductor,碳化硅,Silicon Carbide,半导体与电子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
ferrite,铁氧体,Ferrite,半导体与电子材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,铁氧体的晶粒组织与晶体结构均影响磁性能。
ndfeb,钕铁硼,Neodymium Iron Boron Magnet,半导体与电子材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,钕铁硼的晶粒、晶界相和晶体结构均具有教学价值。
ito,氧化铟锡,Indium Tin Oxide,半导体与电子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
oled_material,OLED材料,OLED Materials,半导体与电子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
shape_memory_alloy,形状记忆合金,Shape Memory Alloy,金属与合金,material,intermetallics,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,形状记忆效应与相变组织、结构机理密切相关。
piezo_ceramic,压电陶瓷,Piezoelectric Ceramic,半导体与电子材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,压电陶瓷需要结合畴、晶粒与极化结构理解机电耦合。
lifepo4,磷酸铁锂,Lithium Iron Phosphate,无机非金属材料,material,,macro,micro; structure,,,macro,,,micro; structure,必需已满足，建议补充,磷酸铁锂的颗粒形貌与橄榄石型结构均具有教学价值。
ncm,三元正极材料,Nickel Cobalt Manganese Cathode,无机非金属材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,三元正极材料适合结合二次颗粒形貌与层状晶体结构学习。
graphite_anode,石墨负极,Graphite Anode,碳材料,material,graphite,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,石墨负极的颗粒形貌与层状嵌锂结构均具有教学价值。
silicon_carbon_anode,硅碳负极,Silicon-Carbon Anode,复合材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,硅碳负极的复合形貌和缓冲结构对循环性能至关重要。
battery_electrolyte,锂电池电解液,Lithium Battery Electrolyte,高分子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
battery_separator,锂电池隔膜,Battery Separator,高分子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
perovskite_solar,钙钛矿光伏材料,Perovskite Solar Material,半导体与电子材料,material,,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
crystalline_silicon_pv,晶硅,Crystalline Silicon,半导体与电子材料,material,silicon,macro,structure,micro,,,,macro,structure,缺少必需图片,半导体与电子材料优先展示样品形态及晶体、器件或功能结构。
activated_carbon,活性炭,Activated Carbon,碳材料,material,,macro,micro,structure,,,,macro,micro,缺少必需图片,多数碳材料的孔隙、颗粒、层片或纤维形貌具有较高观察价值。
medical_titanium_alloy,医用钛合金,Medical Titanium Alloy,金属与合金,variant,titanium_alloy,macro,,micro; structure,,,macro,,,已满足配图策略,金属改性或状态条目只在形貌、组织明显变化时补专属图片。
cobalt_chromium_alloy,钴铬合金,Cobalt Chromium Alloy,金属与合金,material,nonferrous_metals,macro,micro,structure,,,,macro,micro,缺少必需图片,金属宏观形态用于识别材料与产品，显微组织具有较高教学价值。
medical_peek,医用PEEK,Medical PEEK,高分子材料,variant,peek,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
pla,聚乳酸,Polylactic Acid,高分子材料,material,biodegradable_polymers,macro,structure,micro,,,,macro,structure,缺少必需图片,高分子优先展示样品形态与分子、重复单元、交联网络或功能机理。
hydroxyapatite,羟基磷灰石,Hydroxyapatite,无机非金属材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,羟基磷灰石的孔隙形貌与晶体结构均关系到生物学表现。
bioglass,生物玻璃,Bioglass,无机非金属材料,material,glass_materials,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,生物玻璃适合展示表面反应形貌与玻璃网络结构。
biodegradable_magnesium_alloy,可降解镁合金,Biodegradable Magnesium Alloy,金属与合金,variant,magnesium_alloy,macro,,micro; structure,,,,macro,,缺少必需图片,金属改性或状态条目只在形貌、组织明显变化时补专属图片。
graphene,石墨烯,Graphene,碳材料,material,,macro,micro; structure,,,macro,,,micro; structure,必需已满足，建议补充,石墨烯需要结合片层形貌与二维蜂窝结构理解性能。
carbon_nanotube,碳纳米管,Carbon Nanotube,碳材料,material,,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,碳纳米管的管束形貌和卷曲结构均具有教学价值。
nano_silver,纳米银,Nano Silver,金属与合金,material,precious_metals,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,纳米银需要结合颗粒形貌与纳米结构理解尺度效应。
nano_titanium_dioxide,纳米二氧化钛,Nano Titanium Dioxide,无机非金属材料,material,oxide_ceramics,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,纳米二氧化钛需要结合粒子形貌与晶型结构理解性能。
polymer_nanocomposite,聚合物纳米复合材料,Polymer Nanocomposite,复合材料,material,polymer_matrix_composites,macro,micro; structure,,,,,macro,micro; structure,缺少必需图片,聚合物纳米复合材料需要展示纳米填料分散与界面结构。
wood,木材,Wood / Timber,天然与生物基材料,family,,macro,,micro,structure,,,macro,,缺少必需图片,木材家族以纹理和年轮宏观图为基础，细胞结构图可选，树种可继承家族参考图。
bamboo,竹材,Bamboo,天然与生物基材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
paper,纸张,Paper,天然与生物基材料,family,,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
cotton_fiber,棉纤维,Cotton Fiber,纤维与纺织材料,material,,macro,,micro; structure,,,,macro,,缺少必需图片,纤维与纺织材料以纤维束、织物和制品外观为基础，微观与结构图按需补充。
hemp_fiber,麻纤维,Hemp / Linen Fiber,纤维与纺织材料,material,,macro,,micro; structure,,,,macro,,缺少必需图片,纤维与纺织材料以纤维束、织物和制品外观为基础，微观与结构图按需补充。
wool,羊毛,Wool,纤维与纺织材料,material,,macro,,micro; structure,,,,macro,,缺少必需图片,纤维与纺织材料以纤维束、织物和制品外观为基础，微观与结构图按需补充。
leather,皮革,Leather,天然与生物基材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
natural_stone,天然石材,Natural Stone,天然与生物基材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
clay,陶土,Clay,无机非金属材料,material,,macro,micro,structure,,,,macro,micro,缺少必需图片,陶瓷、玻璃和耐火体系通常适合结合宏观形态与微观组织学习。
plywood,胶合板,Plywood,建筑胶凝与土木材料,form,wood,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
mdf,中密度纤维板,Medium Density Fiberboard,建筑胶凝与土木材料,form,wood,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
brick,砖,Brick,建筑胶凝与土木材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
gypsum_board,石膏板,Gypsum Board,建筑胶凝与土木材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
asphalt,沥青,Asphalt / Bitumen,建筑胶凝与土木材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
waterproof_membrane,防水卷材,Waterproof Membrane,建筑胶凝与土木材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
coating_paint,涂料,Coating / Paint,建筑胶凝与土木材料,material,,macro,,,micro; structure,,,macro,,缺少必需图片,建筑与土木材料以外观、构件和施工形态为主要识别信息。
polyester_fiber,涤纶,Polyester Fiber,纤维与纺织材料,form,pet,macro,,micro; structure,,,,macro,,缺少必需图片,纤维与纺织材料以纤维束、织物和制品外观为基础，微观与结构图按需补充。
nylon_fiber,尼龙纤维,Nylon Fiber,纤维与纺织材料,form,polyamide,macro,,micro; structure,,,,macro,,缺少必需图片,纤维与纺织材料以纤维束、织物和制品外观为基础，微观与结构图按需补充。
structural_composites,结构复合材料,Structural composites,复合材料,family,,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
functionally_graded_material,功能梯度材料,Functionally graded material,复合材料,material,structural_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
foam_sandwich_panel,泡沫夹层板,Foam-core sandwich panel,复合材料,form,structural_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
hybrid_fiber_laminate,混杂纤维层合板,Hybrid-fibre laminate,复合材料,material,structural_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
fiber_metal_laminate,纤维金属层板,Fibre metal laminate,复合材料,material,structural_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
aramid_honeycomb_panel,芳纶蜂窝夹层板,Aramid honeycomb sandwich panel,复合材料,form,structural_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
aluminum_honeycomb_panel,铝蜂窝夹层板,Aluminium honeycomb sandwich panel,复合材料,form,structural_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
polymer_matrix_composites,聚合物基复合材料,Polymer matrix composites,复合材料,family,,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
bmc,BMC,Bulk moulding compound,复合材料,form,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
smc,SMC,Sheet moulding compound,复合材料,form,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
natural_fiber_composite,天然纤维复合材料,Natural-fibre composite,复合材料,material,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
basalt_fiber_composite,玄武岩纤维复合材料,Basalt-fibre composite,复合材料,material,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
glass_epoxy_composite,玻璃纤维/环氧复合材料,Glass-fibre/epoxy composite,复合材料,material,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
glass_polyester_composite,玻璃纤维/聚酯复合材料,Glass-fibre/polyester composite,复合材料,material,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
short_glass_fiber_plastic,短玻纤增强塑料,Short-glass-fibre-reinforced plastic,复合材料,variant,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
cf_peek_composite,碳纤维/PEEK复合材料,Carbon-fibre/PEEK composite,复合材料,variant,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
continuous_fiber_thermoplastic,连续纤维增强热塑性复合材料,Continuous-fibre thermoplastic composite,复合材料,material,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
long_glass_fiber_plastic,长玻纤增强塑料,Long-glass-fibre-reinforced plastic,复合材料,variant,polymer_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
metal_matrix_composites,金属基复合材料,Metal matrix composites,复合材料,family,,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
al_alumina_mmc,Al/Al₂O₃,Aluminium/alumina composite,复合材料,material,metal_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
al_sic_mmc,Al/SiC,Aluminium/silicon-carbide composite,复合材料,material,metal_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
cnt_aluminum_composite,碳纳米管增强铝基复合材料,CNT-reinforced aluminium composite,复合材料,material,metal_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
titanium_mmc,钛基复合材料,Titanium matrix composite,复合材料,material,metal_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
copper_mmc,铜基复合材料,Copper matrix composite,复合材料,material,metal_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
magnesium_mmc,镁基复合材料,Magnesium matrix composite,复合材料,material,metal_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
ceramic_matrix_composites,陶瓷基复合材料,Ceramic matrix composites,复合材料,family,,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
c_sic,C/SiC,Carbon-fibre/silicon-carbide composite,复合材料,material,ceramic_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
oxide_oxide_cmc,Oxide/Oxide,Oxide-fibre/oxide-matrix composite,复合材料,material,ceramic_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
sic_alumina_composite,SiC颗粒增强氧化铝,SiC-particle-reinforced alumina,复合材料,material,ceramic_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
zta,氧化锆增韧氧化铝,Zirconia-toughened alumina,复合材料,material,ceramic_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
carbon_fiber_cmc,碳纤维增强陶瓷基复合材料,Carbon-fibre-reinforced ceramic matrix composite,复合材料,material,ceramic_matrix_composites,macro,structure,micro,,,,macro,structure,缺少必需图片,复合材料的增强体、基体、铺层和夹层结构通常具有重要教学价值。
engineered_wood,工程木制品,Engineered wood products,天然与生物基材料,subfamily,wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
particleboard,刨花板,Particleboard,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
lvl,单板层积材,Laminated veneer lumber,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
osb,定向刨花板,Oriented strand board,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
blockboard,木工板,Blockboard,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
clt,正交胶合木,Cross-laminated timber,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
laminated_bamboo,竹集成材,Laminated bamboo lumber,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
glulam,胶合木,Glue-laminated timber,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
reconstituted_bamboo,重组竹,Reconstituted bamboo,天然与生物基材料,form,engineered_wood,macro,,,micro; structure,,,macro,,缺少必需图片,天然材料以纹理、颜色、纤维或产品外观为主要学习信息。
