material_id,中文名,英文名,实体类型,父级ID,分类路径
pom,聚甲醛,Polyoxymethylene,family,engineering_thermoplastics,高分子材料 > 热塑性塑料 > 工程热塑性塑料 > 聚甲醛
pet,聚对苯二甲酸乙二醇酯,Polyethylene Terephthalate,family,thermoplastic_polyesters,高分子材料 > 热塑性塑料 > 热塑性聚酯 > PET
pbt,聚对苯二甲酸丁二醇酯,Polybutylene Terephthalate,family,thermoplastic_polyesters,高分子材料 > 热塑性塑料 > 热塑性聚酯 > PBT
peek,聚醚醚酮,Polyether ether ketone,family,high_performance_polymers,高分子材料 > 高性能聚合物 > 聚芳醚酮 > PEEK
polyimide,聚酰亚胺,Polyimide,family,high_performance_polymers,高分子材料 > 高性能聚合物 > 聚酰亚胺 > PI
pps,聚苯硫醚,Polyphenylene Sulfide,family,high_performance_polymers,高分子材料 > 高性能聚合物 > 聚芳硫醚 > PPS
ptfe,聚四氟乙烯,Polytetrafluoroethylene,family,fluoropolymers,高分子材料 > 热塑性塑料 > 含氟聚合物 > PTFE
lcp,液晶聚合物,Liquid Crystal Polymer,family,high_performance_polymers,高分子材料 > 高性能聚合物 > 液晶聚合物 > LCP
natural_rubber,天然橡胶,Natural Rubber,material,elastomers,高分子材料 > 弹性体 > 通用橡胶 > 天然橡胶
silicone_rubber,硅橡胶,Silicone Rubber,material,elastomers,高分子材料 > 弹性体 > 特种橡胶 > 硅橡胶
fluororubber,氟橡胶,Fluoroelastomer,material,elastomers,高分子材料 > 弹性体 > 特种橡胶 > 氟橡胶
epoxy_resin,环氧树脂,Epoxy Resin,family,thermosetting_resins,高分子材料 > 热固性树脂 > 环氧树脂
polyurethane,聚氨酯,Polyurethane,material,thermosetting_resins,高分子材料 > 热固性树脂 > 聚氨酯树脂
alumina_ceramic,氧化铝陶瓷,Alumina Ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化铝陶瓷
zirconia_ceramic,氧化锆陶瓷,Zirconia Ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化锆陶瓷
sic_ceramic,碳化硅陶瓷,Silicon Carbide Ceramic,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 碳化物陶瓷 > 碳化硅陶瓷
silicon_nitride_ceramic,氮化硅陶瓷,Silicon Nitride Ceramic,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 氮化物陶瓷 > 氮化硅陶瓷
quartz_glass,石英玻璃,Quartz Glass,material,glass_materials,无机非金属材料 > 玻璃 > 特种玻璃 > 石英玻璃
borosilicate_glass,硼硅玻璃,Borosilicate Glass,material,glass_materials,无机非金属材料 > 玻璃 > 特种玻璃 > 硼硅玻璃
tempered_glass,钢化玻璃,Tempered Glass,material,glass_materials,无机非金属材料 > 玻璃 > 安全玻璃 > 钢化玻璃
portland_cement,硅酸盐水泥,Portland Cement,material,,建筑胶凝与土木材料 > 水泥 > 硅酸盐水泥
concrete,混凝土,Concrete,material,portland_cement,建筑胶凝与土木材料 > 混凝土 > 普通混凝土
refractory,耐火材料,Refractory,family,,无机非金属材料 > 耐火材料
carbon_fiber_epoxy,碳纤维/环氧复合材料,Carbon Fiber/Epoxy Composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 连续纤维增强复合材料 > 碳纤维/环氧复合材料
glass_fiber_composite,玻璃纤维复合材料,Glass Fiber Composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 玻璃纤维复合材料
aramid_fiber_composite,芳纶纤维复合材料,Aramid Fiber Composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 芳纶纤维复合材料
aluminum_mmc,铝基复合材料,Aluminum Matrix Composite,material,metal_matrix_composites,复合材料 > 金属基复合材料 > 铝基复合材料
sic_cmc,碳化硅纤维增强陶瓷基复合材料,SiC Fiber Reinforced Ceramic Matrix Composite,material,ceramic_matrix_composites,复合材料 > 陶瓷基复合材料 > SiC/SiC
carbon_carbon,碳/碳复合材料,Carbon/Carbon Composite,material,,复合材料 > 碳基复合材料 > 碳/碳复合材料
honeycomb_sandwich,蜂窝夹层板,Honeycomb Sandwich Panel,material,,复合材料 > 夹层结构材料 > 蜂窝夹层板
silicon,硅,Silicon,material,,半导体与电子材料 > 元素半导体 > 硅
gallium_arsenide,砷化镓,Gallium Arsenide,material,,半导体与电子材料 > 化合物半导体 > 砷化镓
gallium_nitride,氮化镓,Gallium Nitride,material,,半导体与电子材料 > 宽禁带半导体 > 氮化镓
silicon_carbide_semiconductor,碳化硅,Silicon Carbide,material,,半导体与电子材料 > 宽禁带半导体 > 碳化硅半导体
ferrite,铁氧体,Ferrite,material,,半导体与电子材料 > 磁性材料 > 铁氧体
ndfeb,钕铁硼,Neodymium Iron Boron Magnet,material,,半导体与电子材料 > 磁性材料 > 永磁材料 > 钕铁硼
ito,氧化铟锡,Indium Tin Oxide,material,,半导体与电子材料 > 透明导电材料 > ITO
oled_material,OLED材料,OLED Materials,material,,半导体与电子材料 > 发光与光电材料 > OLED材料
shape_memory_alloy,形状记忆合金,Shape Memory Alloy,material,intermetallics,金属与合金 > 金属间化合物 > 形状记忆合金
piezo_ceramic,压电陶瓷,Piezoelectric Ceramic,material,,半导体与电子材料 > 压电与铁电材料 > 压电陶瓷
lifepo4,磷酸铁锂,Lithium Iron Phosphate,material,,无机非金属材料 > 功能陶瓷 > 电化学储能材料 > 磷酸铁锂
ncm,三元正极材料,Nickel Cobalt Manganese Cathode,material,,无机非金属材料 > 功能陶瓷 > 电化学储能材料 > 三元正极材料
graphite_anode,石墨负极,Graphite Anode,material,graphite,碳材料 > 石墨 > 电池级石墨 > 石墨负极
silicon_carbon_anode,硅碳负极,Silicon-Carbon Anode,material,,复合材料 > 碳基复合材料 > 硅碳复合负极
battery_electrolyte,锂电池电解液,Lithium Battery Electrolyte,material,,高分子材料 > 电解质与功能液体 > 锂电池电解液
battery_separator,锂电池隔膜,Battery Separator,material,,高分子材料 > 功能膜 > 锂电池隔膜
perovskite_solar,钙钛矿光伏材料,Perovskite Solar Material,material,,半导体与电子材料 > 发光与光电材料 > 光伏材料 > 钙钛矿光伏材料
crystalline_silicon_pv,晶硅,Crystalline Silicon,material,silicon,半导体与电子材料 > 元素半导体 > 硅 > 晶硅光伏材料
activated_carbon,活性炭,Activated Carbon,material,,碳材料 > 活性炭
medical_titanium_alloy,医用钛合金,Medical Titanium Alloy,variant,titanium_alloy,金属与合金 > 有色金属 > 钛及钛合金 > 医用钛合金
cobalt_chromium_alloy,钴铬合金,Cobalt Chromium Alloy,material,nonferrous_metals,金属与合金 > 有色金属 > 钴及钴合金 > 钴铬合金
medical_peek,医用PEEK,Medical PEEK,variant,peek,高分子材料 > 高性能聚合物 > 聚芳醚酮 > PEEK > 医用级PEEK
pla,聚乳酸,Polylactic Acid,material,biodegradable_polymers,高分子材料 > 生物可降解聚合物 > 脂肪族聚酯 > PLA
hydroxyapatite,羟基磷灰石,Hydroxyapatite,material,,无机非金属材料 > 生物陶瓷 > 羟基磷灰石
bioglass,生物玻璃,Bioglass,material,glass_materials,无机非金属材料 > 玻璃 > 生物活性玻璃
biodegradable_magnesium_alloy,可降解镁合金,Biodegradable Magnesium Alloy,variant,magnesium_alloy,金属与合金 > 有色金属 > 镁及镁合金 > 可降解医用镁合金
graphene,石墨烯,Graphene,material,,碳材料 > 石墨烯
carbon_nanotube,碳纳米管,Carbon Nanotube,material,,碳材料 > 碳纳米管
nano_silver,纳米银,Nano Silver,material,precious_metals,金属与合金 > 贵金属 > 银 > 纳米银
nano_titanium_dioxide,纳米二氧化钛,Nano Titanium Dioxide,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化钛 > 纳米二氧化钛
polymer_nanocomposite,聚合物纳米复合材料,Polymer Nanocomposite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 聚合物纳米复合材料
wood,木材,Wood / Timber,family,,天然与生物基材料 > 植物来源材料 > 木材
bamboo,竹材,Bamboo,material,,天然与生物基材料 > 植物来源材料 > 竹材与藤材 > 竹材
paper,纸张,Paper,family,,天然与生物基材料 > 纸基材料 > 纸张
cotton_fiber,棉纤维,Cotton Fiber,material,,纤维与纺织材料 > 天然植物纤维 > 棉纤维
hemp_fiber,麻纤维,Hemp / Linen Fiber,material,,纤维与纺织材料 > 天然植物纤维 > 麻纤维
wool,羊毛,Wool,material,,纤维与纺织材料 > 天然动物纤维 > 羊毛
leather,皮革,Leather,material,,天然与生物基材料 > 动物来源材料 > 皮革
natural_stone,天然石材,Natural Stone,material,,天然与生物基材料 > 天然矿物材料 > 天然石材
clay,陶土,Clay,material,,无机非金属材料 > 传统陶瓷 > 陶土
plywood,胶合板,Plywood,form,wood,建筑胶凝与土木材料 > 建筑板材 > 工程木制品 > 胶合板
mdf,中密度纤维板,Medium Density Fiberboard,form,wood,建筑胶凝与土木材料 > 建筑板材 > 工程木制品 > 中密度纤维板
brick,砖,Brick,material,,建筑胶凝与土木材料 > 砖瓦 > 砖
gypsum_board,石膏板,Gypsum Board,material,,建筑胶凝与土木材料 > 石膏材料 > 石膏板
asphalt,沥青,Asphalt / Bitumen,material,,建筑胶凝与土木材料 > 沥青材料 > 道路沥青
waterproof_membrane,防水卷材,Waterproof Membrane,material,,建筑胶凝与土木材料 > 防水材料 > 防水卷材
coating_paint,涂料,Coating / Paint,material,,建筑胶凝与土木材料 > 装饰材料 > 建筑涂料
polyester_fiber,涤纶,Polyester Fiber,form,pet,纤维与纺织材料 > 合成纤维 > 聚酯纤维 > 涤纶纤维
nylon_fiber,尼龙纤维,Nylon Fiber,form,polyamide,纤维与纺织材料 > 合成纤维 > 聚酰胺纤维 > 尼龙纤维
structural_composites,结构复合材料,Structural composites,family,,复合材料 > 结构复合材料
functionally_graded_material,功能梯度材料,Functionally graded material,material,structural_composites,复合材料 > 结构复合材料 > 功能梯度材料
foam_sandwich_panel,泡沫夹层板,Foam-core sandwich panel,form,structural_composites,复合材料 > 结构复合材料 > 泡沫夹层板
hybrid_fiber_laminate,混杂纤维层合板,Hybrid-fibre laminate,material,structural_composites,复合材料 > 结构复合材料 > 混杂纤维层合板
fiber_metal_laminate,纤维金属层板,Fibre metal laminate,material,structural_composites,复合材料 > 结构复合材料 > 纤维金属层板
aramid_honeycomb_panel,芳纶蜂窝夹层板,Aramid honeycomb sandwich panel,form,structural_composites,复合材料 > 结构复合材料 > 芳纶蜂窝夹层板
aluminum_honeycomb_panel,铝蜂窝夹层板,Aluminium honeycomb sandwich panel,form,structural_composites,复合材料 > 结构复合材料 > 铝蜂窝夹层板
polymer_matrix_composites,聚合物基复合材料,Polymer matrix composites,family,,复合材料 > 聚合物基复合材料
bmc,BMC,Bulk moulding compound,form,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > BMC
smc,SMC,Sheet moulding compound,form,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > SMC
natural_fiber_composite,天然纤维复合材料,Natural-fibre composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 天然纤维复合材料
basalt_fiber_composite,玄武岩纤维复合材料,Basalt-fibre composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 玄武岩纤维复合材料
glass_epoxy_composite,玻璃纤维/环氧复合材料,Glass-fibre/epoxy composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 玻璃纤维/环氧复合材料
glass_polyester_composite,玻璃纤维/聚酯复合材料,Glass-fibre/polyester composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 玻璃纤维/聚酯复合材料
short_glass_fiber_plastic,短玻纤增强塑料,Short-glass-fibre-reinforced plastic,variant,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 短玻纤增强塑料
cf_peek_composite,碳纤维/PEEK复合材料,Carbon-fibre/PEEK composite,variant,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 碳纤维/PEEK复合材料
continuous_fiber_thermoplastic,连续纤维增强热塑性复合材料,Continuous-fibre thermoplastic composite,material,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 连续纤维增强热塑性复合材料
long_glass_fiber_plastic,长玻纤增强塑料,Long-glass-fibre-reinforced plastic,variant,polymer_matrix_composites,复合材料 > 聚合物基复合材料 > 长玻纤增强塑料
metal_matrix_composites,金属基复合材料,Metal matrix composites,family,,复合材料 > 金属基复合材料
al_alumina_mmc,Al/Al₂O₃,Aluminium/alumina composite,material,metal_matrix_composites,复合材料 > 金属基复合材料 > Al/Al₂O₃
al_sic_mmc,Al/SiC,Aluminium/silicon-carbide composite,material,metal_matrix_composites,复合材料 > 金属基复合材料 > Al/SiC
cnt_aluminum_composite,碳纳米管增强铝基复合材料,CNT-reinforced aluminium composite,material,metal_matrix_composites,复合材料 > 金属基复合材料 > 碳纳米管增强铝基复合材料
titanium_mmc,钛基复合材料,Titanium matrix composite,material,metal_matrix_composites,复合材料 > 金属基复合材料 > 钛基复合材料
copper_mmc,铜基复合材料,Copper matrix composite,material,metal_matrix_composites,复合材料 > 金属基复合材料 > 铜基复合材料
magnesium_mmc,镁基复合材料,Magnesium matrix composite,material,metal_matrix_composites,复合材料 > 金属基复合材料 > 镁基复合材料
ceramic_matrix_composites,陶瓷基复合材料,Ceramic matrix composites,family,,复合材料 > 陶瓷基复合材料
c_sic,C/SiC,Carbon-fibre/silicon-carbide composite,material,ceramic_matrix_composites,复合材料 > 陶瓷基复合材料 > C/SiC
oxide_oxide_cmc,Oxide/Oxide,Oxide-fibre/oxide-matrix composite,material,ceramic_matrix_composites,复合材料 > 陶瓷基复合材料 > Oxide/Oxide
sic_alumina_composite,SiC颗粒增强氧化铝,SiC-particle-reinforced alumina,material,ceramic_matrix_composites,复合材料 > 陶瓷基复合材料 > SiC颗粒增强氧化铝
zta,氧化锆增韧氧化铝,Zirconia-toughened alumina,material,ceramic_matrix_composites,复合材料 > 陶瓷基复合材料 > 氧化锆增韧氧化铝
carbon_fiber_cmc,碳纤维增强陶瓷基复合材料,Carbon-fibre-reinforced ceramic matrix composite,material,ceramic_matrix_composites,复合材料 > 陶瓷基复合材料 > 碳纤维增强陶瓷基复合材料
engineered_wood,工程木制品,Engineered wood products,subfamily,wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品
particleboard,刨花板,Particleboard,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 刨花板
lvl,单板层积材,Laminated veneer lumber,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 单板层积材
osb,定向刨花板,Oriented strand board,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 定向刨花板
blockboard,木工板,Blockboard,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 木工板
clt,正交胶合木,Cross-laminated timber,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 正交胶合木
laminated_bamboo,竹集成材,Laminated bamboo lumber,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 竹集成材
glulam,胶合木,Glue-laminated timber,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 胶合木
reconstituted_bamboo,重组竹,Reconstituted bamboo,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 重组竹
hdf,高密度纤维板,High-density fibreboard,form,engineered_wood,天然与生物基材料 > 植物来源材料 > 木材 > 工程木制品 > 高密度纤维板
modified_wood,改性木材,Modified wood,subfamily,wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材
acetylated_wood,乙酰化木材,Acetylated wood,variant,modified_wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材 > 乙酰化木材
densified_wood,压缩木,Densified wood,variant,modified_wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材 > 压缩木
wood_plastic_composite,木塑复合材料,Wood-plastic composite,variant,modified_wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材 > 木塑复合材料
resin_impregnated_wood,树脂浸渍木材,Resin-impregnated wood,variant,modified_wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材 > 树脂浸渍木材
thermally_modified_wood,热处理木,Thermally modified wood,variant,modified_wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材 > 热处理木
preservative_treated_wood,防腐木,Preservative-treated wood,variant,modified_wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材 > 防腐木
fire_retardant_wood,阻燃木,Fire-retardant wood,variant,modified_wood,天然与生物基材料 > 植物来源材料 > 木材 > 改性木材 > 阻燃木
softwood,针叶材,Softwood,subfamily,wood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材
spruce_wood,云杉,Spruce wood,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 云杉
fir_wood,冷杉,Fir wood,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 冷杉
chinese_fir,杉木,Chinese fir,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 杉木
cypress_wood,柏木,Cypress wood,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 柏木
mongolian_pine,樟子松,Mongolian pine,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 樟子松
korean_pine,红松,Korean pine,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 红松
douglas_fir,花旗松,Douglas fir,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 花旗松
larch_wood,落叶松,Larch wood,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 落叶松
radiata_pine,辐射松,Radiata pine,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 辐射松
cedar_wood,雪松,Cedar wood,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 雪松
masson_pine,马尾松,Masson pine,material,softwood,天然与生物基材料 > 植物来源材料 > 木材 > 针叶材 > 马尾松
hardwood,阔叶材,Hardwood,subfamily,wood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材
poplar_wood,杨木,Poplar wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 杨木
maple_wood,枫木,Maple wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 枫木
teak_wood,柚木,Teak wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 柚木
walnut_wood,核桃木,Walnut wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 核桃木
mahogany_wood,桃花心木,Mahogany,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 桃花心木
eucalyptus_wood,桉木,Eucalyptus wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 桉木
birch_wood,桦木,Birch wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 桦木
basswood,椴木,Basswood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 椴木
elm_wood,榆木,Elm wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 榆木
beech_wood,榉木,Beech wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 榉木
camphor_wood,樟木,Camphor wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 樟木
oak_wood,橡木,Oak wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 橡木
rubberwood,橡胶木,Rubberwood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 橡胶木
ash_wood,水曲柳,Manchurian ash wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 水曲柳
paulownia_wood,泡桐,Paulownia wood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 泡桐
rosewood,紫檀,Rosewood,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 紫檀
ebony_wood,黑檀,Ebony,material,hardwood,天然与生物基材料 > 植物来源材料 > 木材 > 阔叶材 > 黑檀
oxide_ceramics,氧化物陶瓷,Oxide ceramics,family,,无机非金属材料 > 氧化物陶瓷
cordierite_ceramic,堇青石陶瓷,Cordierite ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 堇青石陶瓷
titania_ceramic,氧化钛陶瓷,Titania ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化钛陶瓷
ceria_ceramic,氧化铈陶瓷,Ceria ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化铈陶瓷
beryllia_ceramic,氧化铍陶瓷,Beryllia ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化铍陶瓷
zinc_oxide_ceramic,氧化锌陶瓷,Zinc oxide ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化锌陶瓷
magnesia_ceramic,氧化镁陶瓷,Magnesia ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 氧化镁陶瓷
mullite_ceramic,莫来石陶瓷,Mullite ceramic,material,oxide_ceramics,无机非金属材料 > 氧化物陶瓷 > 莫来石陶瓷
glass_materials,玻璃,Glass materials,family,,无机非金属材料 > 玻璃
insulating_glass,中空玻璃,Insulating glass,material,glass_materials,无机非金属材料 > 玻璃 > 中空玻璃
low_e_glass,低辐射玻璃,Low-emissivity glass,material,glass_materials,无机非金属材料 > 玻璃 > 低辐射玻璃
optical_glass,光学玻璃,Optical glass,material,glass_materials,无机非金属材料 > 玻璃 > 光学玻璃
laminated_glass,夹层玻璃,Laminated glass,material,glass_materials,无机非金属材料 > 玻璃 > 夹层玻璃
glass_ceramic,微晶玻璃,Glass-ceramic,material,glass_materials,无机非金属材料 > 玻璃 > 微晶玻璃
soda_lime_glass,钠钙玻璃,Soda-lime glass,material,glass_materials,无机非金属材料 > 玻璃 > 钠钙玻璃
lead_glass,铅玻璃,Lead glass,material,glass_materials,无机非金属材料 > 玻璃 > 铅玻璃
aluminosilicate_glass,铝硅酸盐玻璃,Aluminosilicate glass,material,glass_materials,无机非金属材料 > 玻璃 > 铝硅酸盐玻璃
gunning_refractory,喷补料,Gunning refractory,material,refractory_materials,无机非金属材料 > 耐火材料 > 喷补料
silica_brick,硅砖,Silica refractory brick,material,refractory_materials,无机非金属材料 > 耐火材料 > 硅砖
carbon_brick,碳砖,Carbon brick,material,refractory_materials,无机非金属材料 > 耐火材料 > 碳砖
refractory_castable,耐火浇注料,Refractory castable,material,refractory_materials,无机非金属材料 > 耐火材料 > 耐火浇注料
refractory_fiber,耐火纤维,Refractory fibre,material,refractory_materials,无机非金属材料 > 耐火材料 > 耐火纤维
magnesia_brick,镁砖,Magnesia brick,material,refractory_materials,无机非金属材料 > 耐火材料 > 镁砖
magnesia_carbon_brick,镁碳砖,Magnesia-carbon brick,material,refractory_materials,无机非金属材料 > 耐火材料 > 镁碳砖
high_alumina_brick,高铝砖,High-alumina brick,material,refractory_materials,无机非金属材料 > 耐火材料 > 高铝砖
fireclay_brick,黏土砖,Fireclay brick,material,refractory_materials,无机非金属材料 > 耐火材料 > 黏土砖
refractory_materials,耐火材料体系,Refractory materials,family,,无机非金属材料 > 耐火材料体系
nonoxide_ceramics,非氧化物陶瓷,Non-oxide ceramics,family,,无机非金属材料 > 非氧化物陶瓷
titanium_diboride,二硼化钛,Titanium diboride,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 二硼化钛
zirconium_diboride,二硼化锆,Zirconium diboride,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 二硼化锆
boron_nitride_ceramic,氮化硼陶瓷,Boron nitride ceramic,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 氮化硼陶瓷
titanium_nitride_ceramic,氮化钛陶瓷,Titanium nitride ceramic,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 氮化钛陶瓷
aluminum_nitride_ceramic,氮化铝陶瓷,Aluminium nitride ceramic,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 氮化铝陶瓷
boron_carbide_ceramic,碳化硼陶瓷,Boron carbide ceramic,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 碳化硼陶瓷
titanium_carbide_ceramic,碳化钛陶瓷,Titanium carbide ceramic,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 碳化钛陶瓷
tungsten_carbide,碳化钨,Tungsten carbide,material,nonoxide_ceramics,无机非金属材料 > 非氧化物陶瓷 > 碳化钨
fullerene,富勒烯,Fullerene,material,,碳材料 > 富勒烯
carbon_black,炭黑,Carbon black,material,,碳材料 > 炭黑
glassy_carbon,玻璃碳,Glassy carbon,material,,碳材料 > 玻璃碳
graphite,石墨,Graphite,material,,碳材料 > 石墨
carbon_aerogel,碳气凝胶,Carbon aerogel,material,,碳材料 > 碳气凝胶
carbon_fiber,碳纤维,Carbon fibre,material,,碳材料 > 碳纤维
diamond,金刚石,Diamond,material,,碳材料 > 金刚石
nonferrous_metals,有色金属,Non-ferrous metals,family,,金属与合金 > 有色金属
